,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
150,"32-7 31st Avenue, Apt 1R","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2200.0,1.0,2
151,40 East 89th Street,"Carnegie Hill, Upper East Side, Upper Manhattan, Manhattan",Carnegie Hill,Upper East Side,Manhattan,6500.0,2.0,3
152,"244 East 79th Street, Apt 2A","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2150.0,1.0,1
153,John St.,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2925.0,1.0,0
154,"21-34 Broadway, Apt 5H","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2820.0,1.0,1
155,"21-34 Broadway, Apt 6D","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2820.0,1.0,1
156,Family sized true 3 bed and 2 ...,"South Jamaica, Southeastern Queens, Queens",South Jamaica,Southeastern Queens,Queens,2600.0,2.0,3
157,"220 West 14th Street, Apt 1A","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4500.0,1.0,1
158,"550 West 54th Street, Apt 1245...","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4396.0,1.0,2
159,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,3300.0,1.0,2
160,"220 West 149th Street, Apt 44","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2200.0,1.0,3
161,"220 West 14th Street, Apt 1A","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4500.0,1.0,1
162,"550 West 54th Street, Apt 1245...","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4396.0,1.0,2
163,E 15 street,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,3300.0,1.0,2
164,"45 West 60th Street, Apt 14J","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,5770.0,2.0,2
165,West 35th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3204.0,1.0,1
166,"271 West 47th Street, Apt 14G","Theater District, Midtown Manhattan, Manhattan
",Theater District,Midtown Manhattan,Manhattan,2965.0,1.0,0
167,"379 Harman Street, Apt 5D","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2400.0,1.0,1
168,"252 East 61st Street, Apt S2F","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3479.0,1.0,1
169,"507 West 28th Street, Apt 25L","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,3950.0,1.0,1
170,"2840 Jackson Avenue, Apt 5L","Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3150.0,1.0,1
171,"141 East 56th Street, Apt 6A","Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,3900.0,1.0,1
172,"454 West 57th Street, Apt B","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3700.0,1.0,3
